"thumbnail_s3_url","desc_style"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/yen2zang/C_iSVEXypay.jpg,"[""#fallfashion""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/frommoi/DD3sT-gv5PK.jpg,"[""#데일리가방""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/ringerchill/DDR_3ZRyApd.jpg,"[""#daily"", ""#룩스타그램"", ""#데일리"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/who.o__h03/DE-LVm5z7Yl.jpg,"[""#daily"", ""#dailymemes""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/yon1_yeon1/C_c-xCXSRkp.jpg,"[""#반팔티코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/yon1_yeon1/DDJ5FITSysC.jpg,"[""#패딩코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/yon1_yeon1/DFXhW6ySws6.jpg,"[""#백팩코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/yon1_yeon1/DBWBOYPSyeS.jpg,"[""#패딩코디"", ""#겨울코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/plluvii/DAKTLH0zC7v.jpg,"[""#여자코디추천"", ""#여자가을룩"", ""#여자가을코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/esil__h/DER8TMSSuVL.jpg,"[""#마니토바묵룩"", ""#겨울코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/ooooje/DC9aLbjzNks.jpg,"[""#패딩룩"", ""#패딩코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/i.love.purpple/DGWvP95TSeO.jpg,"[""#오늘의코디"", ""#선글라스코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/i.ma_love/DDysRjppUe4.jpg,"[""#패션"", ""#일상룩"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/_su.water/DBTtrojzG6K.jpg,"[""#간절기룩"", ""#fashion"", ""#오오티디"", ""#가을룩""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/da_hlia_/DFNOXsiBrl1.jpg,"[""#겨울코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/10.08_jimin/DBlojzfzISy.jpg,"[""#패션""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/luv.minuet/DAwmSfJTUrY.jpg,"[""#가디건코디"", ""#니트코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/leedahyung_/DFsgKbnPST5.jpg,"[""#데일리가방""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/keemjungeunn/DByM8dBvZPC.jpg,"[""#가을코디"", ""#데일리룩""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/keemjungeunn/DBk2WgzPCKy.jpg,"[""#가을코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/antmousbe9/DGX9RsGTNIu.jpg,"[""#봄코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/antmousbe9/DFz6Ll8zRfa.jpg,"[""#후드코디"", ""#봄코디"", ""#후드집업코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/i.ma_love/DDys0NpJc-Q.jpg,"[""#패션"", ""#일상룩"", ""#ootd""]"
